name,title,company,email,score,note
Former CEO,CEO,Google,n/a,35,Sample data (API limits reached)
Former VP of Sales,VP of Sales,Google,n/a,32,Sample data (API limits reached)
Former VP of Marketing,VP of Marketing,Google,n/a,32,Sample data (API limits reached)
Former Director of Product,Director of Product,Google,n/a,29,Sample data (API limits reached)
Setup.sa CEO,CEO,Setup.sa,n/a,27,Sample data (API limits reached)
Setup® CEO,CEO,Setup®,n/a,27,Sample data (API limits reached)
Setup® VP of Engineering,VP of Engineering,Setup®,n/a,24,Sample data (API limits reached)
Setup.sa VP of Engineering,VP of Engineering,Setup.sa,n/a,24,Sample data (API limits reached)
Former CTO,CTO,Google,n/a,23,Sample data (API limits reached)
Former COO,COO,Google,n/a,23,Sample data (API limits reached)
Former CFO,CFO,Google,n/a,23,Sample data (API limits reached)
Setup.sa CTO,CTO,Setup.sa,n/a,15,Sample data (API limits reached)
Setup® CTO,CTO,Setup®,n/a,15,Sample data (API limits reached)
