name,title,company,email,score,note
Former CEO,CEO,Microsoft,n/a,35,Sample data (API limits reached)
"M12, Microsoft's Venture Fund CEO",CEO,"M12, Microsoft's Venture Fund",n/a,33,Sample data (API limits reached)
Former VP of Sales,VP of Sales,Microsoft,n/a,32,Sample data (API limits reached)
Former VP of Marketing,VP of Marketing,Microsoft,n/a,32,Sample data (API limits reached)
"M12, Microsoft's Venture Fund VP of Engineering",VP of Engineering,"M12, Microsoft's Venture Fund",n/a,30,Sample data (API limits reached)
Former Director of Product,Director of Product,Microsoft,n/a,29,Sample data (API limits reached)
Code Connect Inc. CEO,CEO,Code Connect Inc.,n/a,27,Sample data (API limits reached)
Code Connect Inc. VP of Engineering,VP of Engineering,Code Connect Inc.,n/a,24,Sample data (API limits reached)
Former CTO,CTO,Microsoft,n/a,23,Sample data (API limits reached)
Former COO,COO,Microsoft,n/a,23,Sample data (API limits reached)
Former CFO,CFO,Microsoft,n/a,23,Sample data (API limits reached)
"M12, Microsoft's Venture Fund CTO",CTO,"M12, Microsoft's Venture Fund",n/a,21,Sample data (API limits reached)
Code Connect Inc. CTO,CTO,Code Connect Inc.,n/a,15,Sample data (API limits reached)
